GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:08,895| DISPATCHER: Leite Befehl {set_pmi,2242422} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,894| DISPATCHER: Leite Befehl {vote,'212_1'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,895| DISPATCHER: Leite Befehl {vote,'211_2'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,895| DISPATCHER: Leite Befehl {vote,'212_2'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,895| ### vote erhalten! Ich = '231_3'  Initiator = '212_1') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,895| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,896| ### vote erhalten! Ich = '231_3'  Initiator = '211_2') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,896| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,898| ### vote erhalten! Ich = '231_3'  Initiator = '212_2') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,898| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,901| DISPATCHER: Leite Befehl {vote,'232_3'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,901| ### vote erhalten! Ich = '231_3'  Initiator = '232_3') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,901| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,904| DISPATCHER: Leite Befehl {vote,'231_2'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,904| ### vote erhalten! Ich = '231_3'  Initiator = '231_2') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,904| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,913| DISPATCHER: Leite Befehl {vote,'231_5'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,914| ### vote erhalten! Ich = '231_3'  Initiator = '231_5') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,914| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,915| DISPATCHER: Leite Befehl {vote,'213_2'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,916| ### vote erhalten! Ich = '231_3'  Initiator = '213_2') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,916| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,915| DISPATCHER: Leite Befehl {vote,'212_3'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,915| ### vote erhalten! Ich = '231_3'  Initiator = '212_3') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,916| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,917| DISPATCHER: Leite Befehl {vote,'211_1'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,917| ### vote erhalten! Ich = '231_3'  Initiator = '211_1') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,917| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:54,758| DISPATCHER: Leite Befehl {set_pmi,2204090} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:54,759| DISPATCHER: Leite Befehl {send,222222} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:54,759| Send erhalten Y:222222
